,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
55,Strawberry and Banana French Toast,Pacific Fusion,Breakfast,"Monday, January 31, 2022","['Vegetarian', 'Halal']",Toasted Challah bread spread with our house-made banana cream sauce and sprinkled with strawberries and toppings,1 SV,589.38,28.98,60.73,15.86,Egg/Peanuts/Soybean Oil/Tree Nuts/Dairy/Gluten/Wheat,"Whole milk, banana cream sauce (cream cheese [pasteurized milk and cream, salt, carob bean gum, cheese culture], whole milk, candied walnuts [walnuts, sugar, vegetable oil {peanut, cottonseed, soybean and/or sunflower seed}. Contains less than 2% of honey, brown sugar, sea salt. Per manufacturer, may contain peanuts and soy], bananas, light brown beet sugar [sugar, molasses], lemon juice, ground cinnamon), Challah bread (enriched unbleached flour [wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, sugar, eggs, yeast. Contains 2% or less of extra virgin olive oil, canola oil, sea salt, diacetyl tartaric acid esters of mono-diglycerides [datem], soybean oil, enzymes, ascorbic acid, l-cysteine hydrochloride, calcium sulfate, wheat starch), whipped cream, cage-free eggs, fresh strawberries, Special K cereal (rice, wheat gluten, sugar, defatted wheat germ. Contains 2% or less of salt, malt flavor. Enriched with vitamins and minerals: reduced iron, vitamin c, niacinamide, vitamin e acetate, beta-carotene, folic acid, vitamin b6, vitamin b1, vitamin b2, vitamin d3, vitamin b12), beet sugar, kosher salt, ground cinnamon"
56,Scrambled Eggs,Pacific Fusion,Breakfast,"Monday, January 31, 2022","['Vegetarian', 'Halal', 'Nourish']",Softly scrambled cage-free eggs,3 oz,131.74,8.95,0,11.11,Egg,"Cage-free eggs, canola oil"
57,Sausage Patties,Pacific Fusion,Breakfast,"Monday, January 31, 2022",[],Griddled pork sausage patty,1 patty,190,17,1,8,No Major Allergens,"Pork sausage patty (pork, water, salt, spices, dextrose, BHT, citric acid, propyl gallate)"
58,Tater Tots,Pacific Fusion,Breakfast,"Monday, January 31, 2022","['Vegan', 'Halal']",Crispy fried tater tots.,4 oz,279,20.27,21.33,1.86,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Tater tot potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], Contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate), canola fryer oil"
59,White Rice,Pacific Fusion,Breakfast,"Monday, January 31, 2022","['Vegan', 'Halal']",Steamed white rice,1/2 cup (3 oz),161.7,0.26,35.64,2.97,No Major Allergens,"White rice, water"
60,Scrambled Egg Whites,Pacific Fusion,Breakfast,"Monday, January 31, 2022","['Vegetarian', 'Halal', 'Nourish']",,3.5 oz,95.1,5.18,0.78,10.15,Egg,"Cage-free egg whites, canola oil"
61,Tofu Scramble,Pacific Fusion,Breakfast,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']","Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.",3 oz,72.17,4.54,3.36,5.95,Soy/Gluten/Wheat,"Organic firm tofu (contains soy), yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric"
62,Platform Hours 7am-10am,Go Live,Breakfast,"Monday, January 31, 2022",[],,N/A,N/A,N/A,N/A,N/A,,
63,Southwestern Omelet,Go Live,Breakfast,"Monday, January 31, 2022",[],"Fluffy omelet filled with ham, roasted pepper and onions, cheese, and our house Chipotle sour cream",1 SV,1161.33,113.66,3.52,36.34,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, smoked deli ham (pork cured with water, salt, sugar, dextrose, sodium phosphate, sodium erythorbate, sodium nitrite), house Chipotle sour cream (Mexican sour cream [cultured cream. Contains less than 2% of whey, modified food starch {corn}, sodium tripolyphosphate, carrageenan, calcium sulfate, locust bean gum, guar gum, sat, gelatin, potassium sorbate], Chipotle Adobo pepper sauce [water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices]), milk yellow Cheddar cheese, red and green bell peppers, yellow onion"
64,Cheese Omelet,Go Live,Breakfast,"Monday, January 31, 2022","['Vegetarian', 'Halal']","Fluffy egg omelet filled with Cheddar and Monterey Jack cheese, topped with our house phesto",1 EA,616.95,53.92,0.51,30.24,Dairy/Egg/Tree Nuts,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)"
65,Tater Tots,Go Live,Breakfast,"Monday, January 31, 2022","['Vegan', 'Halal']",Crispy fried tater tots.,4 oz,279,20.27,21.33,1.86,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Tater tot potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], Contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate), canola fryer oil"
66,House Roasted Salsa,Go Live,Breakfast,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']","Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",2 tbsp,10.15,0.4,1.6,0.32,No Major Allergens,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
67,Eggs Fried to Order,Go Live,Breakfast,"Monday, January 31, 2022","['Vegetarian', 'Halal', 'Nourish']","Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",each,71.5,4.75,0.36,6.28,Egg,Eggs
68,Assorted Yogurts,Fresh Inspirations,Breakfast,"Monday, January 31, 2022",['Vegetarian'],With your choice of toppings!,N/A,N/A,N/A,N/A,N/A,Dairy,
69,Housemade Granola,Fresh Inspirations,Breakfast,"Monday, January 31, 2022","['Vegetarian', 'Halal', 'Nourish']",Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,1/2 cup,360.18,17.33,47.13,8.03,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
70,Fruit Salad,Fresh Inspirations,Breakfast,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']",A delicious and nutritious blend of fresh fruit!, 1/2 Cup,42.3,0.64,9.79,0.49,No Major Allergens,"Cantaloupe, pineapple, red grapes, honeydew melon"
71,Oatmeal,Fresh Inspirations,Breakfast,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']",Hot old-fashioned rolled oats (may contain wheat/gluten),7 oz,105.04,1.94,18.85,3.6,Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
72,Hard Boiled Eggs,Fresh Inspirations,Breakfast,"Monday, January 31, 2022","['Vegetarian', 'Halal', 'Nourish']","Cage-free, hard boiled eggs",1 each,71.5,4.76,0.36,6.28,Egg,Cage free eggs
73,Assorted Bagels,Harvest Bakery,Breakfast,"Monday, January 31, 2022","['Vegan', 'Halal']","Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 bagel,359.99,4.5,68,12.99,Gluten/Sesame/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar, poppy seeds, sesame seeds, sunflower seeds. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
74,Blueberry Muffin,Harvest Bakery,Breakfast,"Monday, January 31, 2022","['Vegetarian', 'Halal']","Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,330,18,41,4,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, modified food starch, soybean oil, dry whey, leavening, salt, vital wheat gluten, propylene glycol mono- and diglycerides of fatty acids, mono- and diglycerides, sodium stearoyl lactylate, dextrose, corn starch, tricalcium phosphate, soya flour, dry whole eggs, natural and artificial flavor, water, ascorbic acid, alpha tocopherol, citric acid, blueberries, eggs, soybean oil, water, potassium sorbate. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
75,Maple Raised Donut,Harvest Bakery,Breakfast,"Monday, January 31, 2022",['Vegetarian'],"Produced in a facility that also uses milk, eggs, fish, tree nuts, peanuts, wheat, and soybeans.",1 donut,270,11,40,3,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), soybean oil, dextrose. Contains 2% or less of dried whey, sugar, salt, sodium acid pyrophosphate, sodium bicarbonate, defatted soy flour (contains soybean oil, soy lecithin), sodium stearoyl lactylate, cellulose gum, nonfat dry milk, potato flour, soy lecithin, soy protein concentrate, dough conditioner (calcium sulfate, ammonium sulfate, wheat flour, salt), guar gum, dried egg yolks, beta carotene, lactic acid, enzymes, natural flavors, water, yeast (sorbitan monostearate, ascorbic acid), powder sugar (sugar, maltodextrin), palm oil, corn syrup, maple extract (alcohol, sugar, maple syrup, caramel color, water), vanilla extract (alcohol, bourbon vanilla beans, and water). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
76,Apple Cinnamon Donut,Harvest Bakery,Breakfast,"Monday, January 31, 2022",['Vegan'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,400,21,49,4,Alcohol [vanilla extract]/Gluten/Soy/Soybean Oil/Wheat,"Donut ingredients: unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, palm oil. Icing ingredients: powdered sugar, apples, corn syrup, vanilla extract, cinnamon. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy."
77,Thai Red Curry Shrimp,Go Live,Lunch,"Monday, January 31, 2022",['Halal'],"A spicy savory shrimp curry made with red chilies, eggplant, hints of lemongrass, and Thai basil.",3.5 oz,140.53,9.94,5.53,7.89,Fish/Shellfish/Coconut,"Shrimp, coconut milk, Mae Ploy red curry paste (garlic, dried red chili, lemongrass, shallot, salt, galangal, shrimp paste [shrimp, salt], kaffir lime peel, pepper. May contain traces of fish), eggplant, light brown beet sugar, fresh Thai basil, Thai peppers, fish sauce (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein)"
78,Basmati Rice,Go Live,Lunch,"Monday, January 31, 2022","['Vegan', 'Halal']",Fluffy white basmati rice.,1/2 cup,93.22,0.17,20.42,1.82,No Major Allergens,Basmati Rice cooked in water
79,Make-Your-Own Mongolian BBQ,Pacific Fusion,Lunch,"Monday, January 31, 2022",['Halal'],"Mongolian stir-fry with choice of protein, noodles and vegetables",plate,-1,-1,-1,-1,All major allergens,[Placeholder] - all major allergens;
80,Sweet & Sour Tofu,Pacific Fusion,Lunch,"Monday, January 31, 2022",['Vegan'],Crispy fried tofu marinated in our house sweet & sour sauce,1/2 cup,123.95,7.71,9.78,4.41,*Ingredient prepared in a fryer that`s not allergen-free/Alcohol [vanilla extract]/Gluten/Soy/Wheat,"Firm tofu, house-made sweet and sour sauce (rice vinegar, beet sugar, ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], cornstarch, lime juice, green bell peppers, carrots, yellow onion, light brown beet sugar, less-sodium soy sauce [water, soybeans, wheat, salt, lactic acid, sodium benzoate], pineapple, canola oil, pure vanilla extract, red food coloring [water, U.S. Certified Colors {FD&C red #40 and blue #1}, citric acid, 1/10 of 1% benzoate of soda], Tabasco hot sauce [distilled vinegar, red pepper, salt]), canola oil, cornstarch"
81,Sticky Rice,Pacific Fusion,Lunch,"Monday, January 31, 2022","['Vegan', 'Halal']",Steamed white calrose rice,1/2 cup (3 oz),161.7,0.26,35.64,2.97,No Major Allergens,"White rice, water"
82,Creamy Bacon Pasta with Peas,Bistro,Lunch,"Monday, January 31, 2022",[],"Lentil penne pasta with a house plant-based cream sauce and topped with peas, bacon, and tomatoes",plate,-1,-1,-1,-1,No Major Allergens,
83,Roasted Cauliflower,Bistro,Lunch,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']",Cauliflower tossed in olive oil and roasted with salt and pepper,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
84,Sauteed Garlic Green Beans,Bistro,Lunch,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']",Fresh green beans sauteed with garlic and lightly seasoned,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
85,Savory White Beans,Bistro,Lunch,"Monday, January 31, 2022","['Vegan', 'Halal', 'Nourish']","White beans with celery, tomatoes, and herbs",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
86,Chicken Patty Sandwich,Tomato Street Grill,Lunch,"Monday, January 31, 2022",[],Breaded chicken patty on a bun,sandwich,355.1,11.4,44.17,18.15,Gluten/Soybean Oil/Wheat/*Ingredient prepared in a fryer that`s not allergen-free/Dairy,"Breaded chicken patty (chicken breast with rib meat, water, sodium phosphate, salt. Breaded and battered with bleached wheat flour, water, enriched wheat flour. Contains 2% or less of salt, canola oil, sugar, dextrose, yeast, yellow corn flour, torula yeast, extractives of paprika and annatto, natural flavor, wheat starch, wheat flour, salt, buttermilk blend, sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate, spice. Set in vegetable oil), Kaiser roll (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient, dough conditioners, calcium sulfate, calcium propionate, yellow corn flour, turmeric and annatto, cornmeal), canola oil"
87,Aggie Burger,Tomato Street Grill,Lunch,"Monday, January 31, 2022","['Vegan', 'Halal', 'Sustainable Choice']",House-made vegan Aggie patty featuring Russel Ranch sundried tomatoes. Topped with a creamy vegan sauce on a sesame bun.,1 burger,214.92,10.79,21.04,9.84,Soy/Soybean Oil/Gluten/Wheat/Mushroom/Peanuts/Tree Nuts/Sesame,"HOUSE MADE VEGAN AGGIE PATTY (wild rice pilaf blend [brown rice, wild rice, mushrooms, red onion, gluten-free vegetable soup base {reconstituted vegetable juice blend (water and concentrated juices of carrot, celery, tomato), maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor}, house low sodium Teriyaki sauce {less-sodium soy sauce (water, wheat, soybeans, salt, lactic acid, sodium benzoate), beet sugar, light brown beet sugar, pineapple juice, rice vinegar, corn starch, ketchup (tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring), ginger, garlic, pure sesame oil}, canola oil, garlic, ground black pepper, ginger], vital wheat gluten flour, hash browns [potato, disodium dihydrogen pyrophosphate, dextrose], celery, carrots, vegetable soup base [reconstituted vegetable juice blend {water and concentrated juices of carrot, celery, tomato}, maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor], mushrooms, yellow onion, hummus [garbanzo beans, yellow onion, Tahini paste {ground hulled sesame seeds}, garlic, canola/olive oil blend, lemon juice, iodized salt], thickener [modified cornstarch, rice flour, corn oil. Made on equipment that also processes soy, wheat, and milk], canola/olive oil blend, old-fashioned rolled oats [per manufacturer, may contain wheat/gluten], raw sunflower seeds [per manufacturer, may contain peanuts and tree nuts], corn, brown lentils, pearled barley, canned red peppers [bell pepper, water, citric acid], green onions, sundried tomatoes, fresh Italian parsley, corn starch, garlic, curry powder, ground black pepper), VEGAN AGGIE SAUCE (ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], vegan sour cream [filtered water, coconut cream, expeller-pressed high-oleic safflower oil, organic coconut oil, organic tapioca maltodextrin. Contains less than 2% of natural flavors, tapioca starch, pectin, glucono delta lactone, gellan gum, organic lemon juice concentrate, calcium phosphate, locust bean gum, lactic acid, calcium lactate, guar gum, sea salt, sodium alginate], house fajita seasoning [salt, onion powder, garlic powder, paprika, sugar, ground white pepper, beet sugar, ground cumin, ground lemon pepper]), SESAME HAMBURGER BUN (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds)"
88,Shoestring Fries,Tomato Street Grill,Lunch,"Monday, January 31, 2022","['Vegan', 'Halal']",Crispy deep-fried thin cut potato fries,3 oz,201.6,12,21.13,1.84,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Shoestring fries (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], modified food starch. Contains less than 2% of dextrose, leavening [sodium acid pyrophosphate, sodium bicarbonate], rice flour, salt, xanthan gum, disodium, dihydrogen pyrophosphate), canola fryer oil, seasoned salt (salt, onion powder, granulated garlic, ground paprika, sugar, white ground pepper)"
