,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
42,Spicy Sidewinder Potatoes with Fried Egg,['Vegetarian'],"Monday, February 14, 2022",Breakfast,Tomato Street Grill, 1 SV, 884.97, 71.45, 49.47, 12.22,"Extra wide spiral-cut fries covered in a spicy Spanish Bravas sauce, served with a fried cage-free egg and fresh cilantro",Egg/*Ingredient prepared in a fryer that`s not allergen-free/Alcohol/Gluten/Soybean Oil/Wheat,"Cage-free eggs, beer-battered sidewinder fries (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of beer, cellulose gum, cornstarch, dextrin, dextrose, food starch modified, leavening [sodium acid pyrophosphate, sodium bicarbonate], rice flour, salt, disodium dihydrogen pyrophosphate), house Bravas sauce (canola/olive oil blend, yellow onion, red wine vinegar, tomatoes, red bell peppers, garlic, dark chili powder, smoked paprika, pure clover honey, ground Cayenne pepper, crushed red pepper, kosher salt), canola oil, fresh cilantro"
43,Tater Tots,"['Vegan', 'Halal']","Monday, February 14, 2022",Breakfast,Tomato Street Grill, 4 oz, 279, 20.27, 21.33, 1.86,Crispy fried tater tots.,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Tater tot potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], Contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate), canola fryer oil"
44,House Roasted Salsa,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Tomato Street Grill, 2 tbsp, 12.55, 0.5, 1.98, 0.4,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
45,Scrambled Egg Whites,"['Vegetarian', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Tomato Street Grill, 3.5 oz, 95.1, 5.18, 0.78, 10.15,,Egg,"Cage-free egg whites, canola oil"
46,Tofu Scramble,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Seasonality East, 3.5 oz, 84.9, 5.34, 3.96, 7,"Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.",Soy/Gluten/Wheat,"Organic firm tofu, yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric"
47,Eggs Fried to Order,"['Vegetarian', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Seasonality East, each, 71.5, 4.75, 0.36, 6.28,"Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",Egg,Eggs
48,Mushroom and Tomato Omelet,['Vegetarian'],"Monday, February 14, 2022",Breakfast,Seasonality East, 1 SV, 742.19, 66.36, 7.27, 31.16,"Fluffy omelet with roasted tomatoes, mushrooms, crumbled Feta cheese, and our walnut-arugula ""phesto""",Egg/Mushroom/Dairy/Alcohol/Tree Nuts,"Cage-free eggs, Sherry tomatoes (cherry tomatoes, canola/olive oil blend, kosher salt, Sherry cooking wine [wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate, potassium metabisulfite], ground black pepper), Balsamic-marinated mushrooms (Crimini mushrooms, Portobello mushrooms, canola/olive oil blend, Balsamic vinegar, fresh rosemary, Shiitake mushrooms, kosher salt, ground black pepper), Feta cheese, canola/olive oil blend, house arugula phesto"" (canola/olive oil blend, wild arugula, fresh basil, walnuts, garlic, salt, lemon juice, ground black pepper)"""
49,Barbacoa Omelet,[],"Monday, February 14, 2022",Breakfast,Seasonality West, 1 SV, 1183.36, 113.42, 5.74, 42.11,"Fluffy egg omelet stuffed with barbacoa beef, Gouda cheese, and roasted onions & peppers",Egg/Tree Nuts/Dairy,"Cage-free eggs, canola/olive oil blend, Barbacoa beef (beef shoulder, yellow onion, apple cider vinegar, dried Anaheim chile, garlic, salt, dark chili powder, cumin, ground black pepper, cloves, Mediterranean oregano, thyme), smoked Gouda cheese, house-made roasted yellow pepper phesto"" (yellow bell pepper, extra virgin olive oil, walnuts, fresh basil, garlic, kosher salt, crushed red pepper), red and green bell peppers, yellow onion"""
50,Cheese Omelet,"['Vegetarian', 'Halal']","Monday, February 14, 2022",Breakfast,Seasonality West, 1 EA, 616.95, 53.92, 0.51, 30.24,Fluffy egg omelet filled with Cheddar and Monterey Jack cheese,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)"
51,Over Night Oats,"['Vegetarian', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Seasonality West, bowl, 569.53, 29.24, 64.9, 16.89,"Rolled oats prepared in soy milk, yogurt, & honey. Granished with fresh berries, almond butter, & our house chocolate granola",Gluten/Wheat/Soy/Dairy/Coconut/Tree Nuts/Peanuts,"Rolled oats (vanilla soy milk [filtered water, soybeans, cane sugar, sea salt, gellan gum, natural flavor], old fashioned whole grain rolled oats [per manufacturer, may contain wheat/gluten], coconut milk, vanilla Greek yogurt [cultured grade A nonfat milk, water, cane sugar, corn starch. Contains less than 1% of natural flavors, lemon juice concentrate, carob bean gum, vegetable juice, vitamin d3], steamed quinoa [cooked in water], beet sugar, pure clover honey, chia seeds, ground cinnamon, kosher salt), strawberries, almond butter, house-made chocolate granola (old fashioned whole grain oats [per manufacturer, may contain wheat/gluten], seedless raisins, sunflower seeds, unsalted butter, pure clover honey, peanut-free mixed nuts [cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt], light brown beet sugar, molasses, cocoa powder [processed with alkali. May contain soy and milk]), blueberries, coconut flakes (coconut, sugar, water, propylene glycol, salt, sodium metabisulfite. Per manufacturer, contains tree nuts)"
52,Housemade Granola,"['Vegetarian', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Seasonality West, 1/2 cup, 360.18, 17.33, 47.13, 8.03,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
53,Fruit Salad,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Fresh Inspirations,  1/2 Cup, 42.3, 0.64, 9.79, 0.49,A delicious and nutritious blend of fresh fruit!,,"Cantaloupe, pineapple, red grapes, honeydew melon"
54,Oatmeal,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Fresh Inspirations, 7 oz, 105.04, 1.94, 18.85, 3.6,Hot old-fashioned rolled oats (may contain wheat/gluten),Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
55,Hard Boiled Eggs,"['Vegetarian', 'Halal', 'Nourish']","Monday, February 14, 2022",Breakfast,Fresh Inspirations, 1 each, 71.5, 4.76, 0.36, 6.28,"Cage-free, hard boiled eggs",Egg,Cage free eggs
56,Sticky Rice,"['Vegan', 'Halal']","Monday, February 14, 2022",Breakfast,Fresh Inspirations, 1/2 cup (3 oz), 161.7, 0.26, 35.64, 2.97,Steamed white calrose rice,,"White rice, water"
57,Mini Everything Bagel,"['Vegan', 'Halal']","Monday, February 14, 2022",Breakfast,Harvest Bakery, 1 bagel, 359.99, 4.5, 68, 12.99,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Sesame/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar, poppy seeds, sesame seeds, sunflower seeds. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
58,Blueberry Muffin,"['Vegetarian', 'Halal']","Monday, February 14, 2022",Breakfast,Harvest Bakery, each, 330, 18, 41, 4,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, modified food starch, soybean oil, dry whey, leavening, salt, vital wheat gluten, propylene glycol mono- and diglycerides of fatty acids, mono- and diglycerides, sodium stearoyl lactylate, dextrose, corn starch, tricalcium phosphate, soya flour, dry whole eggs, natural and artificial flavor, water, ascorbic acid, alpha tocopherol, citric acid, blueberries, eggs, soybean oil, water, potassium sorbate. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
59,Maple Raised Donut,['Vegetarian'],"Monday, February 14, 2022",Breakfast,Harvest Bakery, 1 donut, 270, 11, 40, 3,"Produced in a facility that also uses milk, eggs, fish, tree nuts, peanuts, wheat, and soybeans.",Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), soybean oil, dextrose. Contains 2% or less of dried whey, sugar, salt, sodium acid pyrophosphate, sodium bicarbonate, defatted soy flour (contains soybean oil, soy lecithin), sodium stearoyl lactylate, cellulose gum, nonfat dry milk, potato flour, soy lecithin, soy protein concentrate, dough conditioner (calcium sulfate, ammonium sulfate, wheat flour, salt), guar gum, dried egg yolks, beta carotene, lactic acid, enzymes, natural flavors, water, yeast (sorbitan monostearate, ascorbic acid), powder sugar (sugar, maltodextrin), palm oil, corn syrup, maple extract (alcohol, sugar, maple syrup, caramel color, water), vanilla extract (alcohol, bourbon vanilla beans, and water). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
60,Apple Cinnamon Donut,['Vegan'],"Monday, February 14, 2022",Breakfast,Harvest Bakery, each, 400, 21, 49, 4,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Alcohol [vanilla extract]/Gluten/Soy/Soybean Oil/Wheat,"Donut ingredients: unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, palm oil. Icing ingredients: powdered sugar, apples, corn syrup, vanilla extract, cinnamon. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy."
61,Fresh Aggie Bar,[],"Monday, February 14, 2022",Lunch,Fresh Inspirations, 1 SV, -1, -1, -1, -1,"BYO bowl Aggie style with choice of protein, veggies and sauces",, 
62,Roasted Marinated Beef,['Nourish'],"Monday, February 14, 2022",Lunch,Fresh Inspirations, 3.5 oz, 168.88, 11.91, 0.51, 14.4,"Tender beef marinated in mustard, garlic and rosemary",Alcohol,"Beef rib, red wine vinegar, canola/olive oil blend, garlic, Dijon mustard (mustard seeds, water, alcohol vinegar, white wine, salt, sodium bisulfite), kosher salt, ground black pepper, fresh rosemary"
63,Shredded Chicken,"['Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 3.5 oz, 195.65, 6.57, 0.57, 31.43,Tender chicken shredded and seasoned with our house fajita blend.,,"Boneless skinless halal chicken thighs, house fajita seasoning (seasoned salt [salt, ground paprika, granulated garlic, onion powder, ground white pepper, sugar], sugar, ground cumin, lemon pepper seasoning [salt, spices [including black pepper], citric acid, onion, sugar, garlic, calcium stearate, silicon dioxide, calcium silicate, lemon oil, riboflavin])"
64,Cauliflower Rice,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 3 oz, 65.88, 5.19, 4.7, 1.82,Lightly seasoned cauliflower rice,,"Cauliflower, canola/olive oil blend, kosher salt"
65,Steamed White Rice,"['Vegan', 'Halal']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 3 oz, 138.54, 0, 30.97, 3.26,Steamed white rice,,"Long grain rice (enriched with iron, niacin, thiamin, folic acid)"
66,Roasted Broccoli,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 3 oz, 58.21, 4.02, 5.12, 2.16,Broccoli lightly seasoned and roasted,,"Broccoli, canola/olive oil blend, kosher salt, ground black pepper"
67,Sauteed Garlic Green Beans,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations,  3 oz, 49.27, 2.81, 6.02, 1.55,Fresh green beans sauteed with garlic and lightly seasoned,,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
68,Roasted Butternut Squash,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 3 oz, 74.19, 4.24, 10.02, 0.86,Butternut squash lightly seasoned and roasted,,"Butternut squash, canola/olive oil blend, kosher salt, ground black pepper"
69,Roasted Brussels Sprouts,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations,  3 oz, 68.43, 4.17, 7.26, 2.73,Brussels sprouts roasted and lightly seasoned,,"Brussels sprouts, canola/olive oil blend, kosher salt, ground black pepper"
70,Sauteed Yellow Squash,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 3 oz, 33.1, 2.48, 2.76, 0.71,Fresh yellow squash sauteed and lightly seasoned,,"Yellow squash, canola/olive oil blend, kosher salt, ground black pepper"
71,Chimmichurri Sauce,"['Vegan', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 127.91, 14.43, 0.82, 0.36,"An herby sauce with cilantro, parsley, garlic, and oregano to complement your dish",,"Canola/olive oil blend, fresh Italian parsley, fresh cilantro, red wine vinegar, garlic, Mediterranean oregano, crushed red pepper"
72,Mango Vinaigrette,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 120.23, 13.03, 2.31, 0.11,Sweet and tangy vinaigrette to complement your dish,,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
73,Tomatillo and Avocado Salsa,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 48.13, 4.83, 1.67, 0.34,House tomatillo & avocado salsa,,"Tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt"
74,Romaine Lettuce,"['Vegan', 'Halal', 'Nourish']","Monday, February 14, 2022",Lunch,Fresh Inspirations, 1 cup, 7.99, 0.14, 1.55, 0.58,,,Fresh Romaine lettuce
75,BBQ Chicken Sandwich,[],"Monday, February 14, 2022",Dinner,Tomato Street Grill, N/A, N/A, N/A, N/A, N/A,,"Gluten, Wheat, Soy, Sesame",
76,Shoestring Fries,"['Vegan', 'Halal']","Monday, February 14, 2022",Dinner,Tomato Street Grill, 3 oz, 201.6, 12, 21.13, 1.84,Crispy deep-fried thin cut potato fries,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Shoestring fries (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], modified food starch. Contains less than 2% of dextrose, leavening [sodium acid pyrophosphate, sodium bicarbonate], rice flour, salt, xanthan gum, disodium, dihydrogen pyrophosphate), canola fryer oil, seasoned salt (salt, onion powder, granulated garlic, ground paprika, sugar, white ground pepper)"
77,Chicken Poblano Quesadilla,['Halal'],"Monday, February 14, 2022",Dinner,Seasonality, serving, 308.99, 15.7, 27.5, 16.32,"Cheesy quesadilla filled with shredded chicken, sauteed Poblano and bell peppers, and onions.",Dairy/Gluten/Soybean Oil/Wheat,"Boneless skinless halal shredded chicken thighs, flour tortilla (contains wheat/gluten and soybean oil), pepper jack cheese, Poblano peppers, red and green bell peppers, gluten-free chicken broth, red onion, canola/oil blend, fresh cilantro, garlic, lime juice, fajita seasoning (salt, onion powder, garlic powder, paprika, sugar, ground white pepper, beet sugar, ground cumin, ground lemon pepper)"
